;name;phones;mails;address;company;people;inn
0;vk.com/club105783760;;;;;;
1;spikcompany.ru;87777777777,89313690060,88123300320;info@spikcompany.ru;;РЕСО-Гарантия	СПИК	Райффайзенбанк	Санкт-Петербургская Ипотечная Компания;;7841427019
2;vk.com/spikcompany;89811707704,89216396814,88123300320;;;РЕСО-Гарантия	Санкт-Петербургская Ипотечная Компания;;
3;priemka-kvartiri.ru;89806858450,87777777777,84992869955,89165364841,89605056650;info@priemka-kvartiri.ru;Москва, ул. Садовническая;;;
4;rechkunovsky.ru;;;;;;
5;aovm.ru/malaya-semyonovskaya-ulica;84955518328;;Москва, улица Ибрагимова;;;
6;t.me/mamayadoma_bot;;;;;;
7;wa.me/79935698303;;;;;;
8;vk.com/club211490264;89243656060,89141047774;;;;;
9;wa.me/79243606060;;;;;;
10;rbnpro.ru;89923445354,89920154907,89923355820,89022548775,89961866563,89118625661,89068116920,89826508076,89022793627,89923445361,89923445355,89022652694,89222109805,89923445363,89923355823,89222153789,83433469558,89920206301,89923445364,89226194886,89923355827,89220226055,89961866596,89226194881,89961866560,89220201159,89014144215,89920276496;ekb29@rbnpro.ru,ekb04@rbnpro.ru,ekb09@rbnpro.ru,ekb.sklad1@rbnpro.ru,reserv-20@yandex.ru,ekb21@rbnpro.ru,ekb06@rbnpro.ru,ekb22@rbnpro.ru,ekb27@rbnpro.ru,ekb12@rbnpro.ru,ekb.sklad3@rbnpro.ru,ekb02@rbnpro.ru,ekb18@rbnpro.ru,ekb03@rbnpro.ru,ekb14@rbnpro.ru,ekb11@rbnpro.ru,ekb23@rbnpro.ru,s.v.semenov@rbnpro.ru,ekb20@rbnpro.ru,ekb07@rbnpro.ru,ekb16@rbnpro.ru,ekb.nm@rbnpro.ru,ekb13@rbnpro.ru,ekb01@rbnpro.ru,ekb08@rbnpro.ru,ekb.sklad2@rbnpro.ru,ekb.sd2@rbnpro.ru,ekb25@rbnpro.ru;Екатеринбург, ул. Айвазовского;;;
11;ulyanovsk.rbnpro.ru;89278250712,89279817434,89632343656,89378748697,89603771817,89093598022,89603724256,89279850755,89278358309,89603688075,89372782823,89278137178,89278331545;simbirsk05@rbnpro.ru,simbirsk09@rbnpro.ru,simbirskmmf@rbnpro.ru,simbirsk02@rbnpro.ru,simbirsk14@rbnpro.ru,simbirsk04@rbnpro.ru,simbirsk01@rbnpro.ru,s.v.semenov@rbnpro.ru,simbirsk12@rbnpro.ru,simbirsk15@rbnpro.ru,simbirsk11@rbnpro.ru,simoffice@rbnpro.ru,simbirskrop2@rbnpro.ru,simbirsk08@rbnpro.ru,simbirsk13@rbnpro.ru;Ульяновск, ул. Карла;;;
12;viber.click/79093598022;;;;;;
13;vk.com/id11236578;;;;;;
14;wa.me/79093598022;;;;;;
15;vk.com/rbnkursk;89107305331,89155163538,89513304674,89655169167;;;;;
16;as-dv.ru/objects/43;;;;;;
17;moreyalta.ru;83652777070,80066006300,80038006400,83652777164,80064003800,80063003700,80062006400,80033003300,80038003900;info@moreyalta.ru,hr@moreyalta.ru,sales@moreyalta.ru;Гурзуф, ул. Геологов;;;
18;wa.me/79854114313;;;;;;
19;sk-pobeda.ru;88004443217,88612054567;info@sk-pobeda.ru,it@sk-pobeda.ru,drobyshevaiv@sk-pobeda.ru;;;;
20;vk.com/pereladaclub;;;;;;
21;wa.me/79224810651;;;;;;
22;viber.click/79224810651;;;;;;
23;youtube.com/channel/ucfgtp_bpnurmbw7ypvpjnaq;;;;;;
24;nemkvartal.ru;89599371078,85003891601,80000000000;nemkvartal@mail.ru,souzsaratov@mail.ru;;;;
25;podkova-nnov.ru;;;Новгород,ул. Большая	Новгород, улица Родионова	Новгород, ул. Родионова	Новгород, ул. Горная;;;
26;podkova-nnov.ru/realty/podkova-na-tsvetochnoj;;;Новгород,ул. Большая;;;
27;dubki-park.com;;480-999-8dubki-park.com@yandex.ru;;;;
28;vk.com/ammis_ru;88007074426;;;;;
29;youtube.com/channel/ucq2wwmyvzrzab0w_dbkpuqw;;;;;;
30;ammis.ru;;;;;;
31;zen.yandex.ru/ammis;;;;;;
32;aovm.ru/2-ya-roshchinskaya-ulica;84955518328;;Москва, улица Орджоникидзе	Москва, улица Шухова	Москва, улица Шаболовка;;;
33;yantbereg.ru;;;;;;
